premise,hypothesis,label
"John went to Paris by car, and Bill to Berlin.",Bill went to Berlin by car.,entailment
Neither commissioner spends a lot of time at home.,Neither commissioner spends time at home.,neutral
John is a successful former university student.,John is successful.,entailment
Just one accountant attended the meeting.,No accountants attended the meeting.,contradiction
John is a man and Mary is a woman. John represents his company and so does Mary.,Mary represents her own company.,entailment
ITEL has developed a new editor since 1992. It is now 1996.,ITEL developed a new editor in 1993.,neutral
Most great tenors are Italian.,There are great tenors who are Italian.,entailment
Every Canadian resident can travel freely within Europe. Every Canadian resident is a resident of the North American continent.,Every resident of the North American continent can travel freely within Europe.,neutral
Smith wrote a report in two hours. Smith started writing the report at 8 am.,Smith had finished writing the report by 11 am.,entailment
Most Europeans who are resident in Europe can travel freely within Europe.,Most Europeans can travel freely within Europe.,neutral
Many great tenors are German.,There are great tenors who are German.,entailment
ITEL owned APCOM from 1988 to 1992.,ITEL owned APCOM in 1990.,entailment
Few committee members are from Portugal. All committee members are people. All people who are from Portugal are from southern Europe.,There are few committee members from southern Europe.,neutral
Both commissioners used to be leading businessmen.,Both commissioners used to be businessmen.,entailment
The PC-6082 is faster than the ITEL-XZ. The PC-6082 is fast.,The ITEL-XZ is fast.,neutral
A few female committee members are from Scandinavia.,At least a few committee members are from Scandinavia.,entailment
Smith attended a meeting. She chaired it.,Smith chaired a meeting.,entailment
"Smith arrived in Paris on the 5th of May, 1995. Today is the 15th of May, 1995. She is still in Paris.","Smith was in Paris on the 7th of May, 1995.",entailment
Smith lived in Birmingham for two years.,Smith lived in Birmingham for a year.,entailment
Both leading tenors are excellent. Leading tenors who are excellent are indispensable.,Both leading tenors are indispensable.,entailment
John and his colleagues went to a meeting. They hated it.,John's colleagues hated the meeting.,entailment
Jones revised the contract. Smith revised the contract. Jones revised the contract after Smith did.,Smith revised the contract before Jones did.,entailment
John is a former successful university student.,John is successful.,neutral
Several delegates got the results published.,Several delegates got the results published in major national newspapers.,neutral
When Smith arrived in Katmandu she had been travelling for three days.,Smith had been travelling the day before she arrived in Katmandu.,entailment
The PC-6082 is faster than 500 MIPS. The ITEL-ZX is slower than 500 MIPS.,The PC-6082 is faster than the ITEL-ZX.,entailment
ITEL always delivers reports late. In 1993 ITEL delivered reports.,ITEL delivered reports late in 1993.,entailment
"The conference started on July 4th, 1994. It lasted 2 days.","The conference was over on July 8th, 1994.",entailment
ITEL won more orders than APCOM did.,ITEL won some orders.,entailment
Smith claimed he had costed his proposal and so did Jones.,Jones claimed he had costed his own proposal.,entailment
Every report has a cover page. R-95-103 is a report. Smith signed the cover page.,Smith signed the cover page of R-95-103.,entailment
Since 1992 ITEL has been in Birmingham. It is now 1996.,Itel was in Birmingham in 1993.,entailment
No one gambling seriously stops until he is broke. No one can gamble when he is broke.,Everyone who starts gambling seriously stops the moment he is broke.,entailment
The residents of member states can travel freely within Europe. All residents of member states are individuals. Every individual who has the right to live anywhere in Europe can travel freely within Europe.,The residents of member states have the right to live anywhere in Europe.,neutral
ITEL won more orders than the APCOM contract.,ITEL won the APCOM contract.,entailment
Just one accountant attended the meeting.,Some accountant attended the meeting.,entailment
The PC-6082 is faster than the ITEL-ZX or the ITEL-ZY.,The PC-6082 is faster than the ITEL-ZX.,entailment
Every customer who owns a computer has a service contract for it. MFI is a customer that owns several computers.,MFI has a service contract for all its computers.,entailment
Smith represents his company and so does Jones.,Smith represents Jones' company.,neutral
Every mammal is an animal.,Every four-legged mammal is a four-legged animal.,entailment
Kim is a clever politician.,Kim is clever.,neutral
Some Irish delegates finished the survey on time.,Some delegates finished the survey on time.,entailment
Smith had left the house at a quarter past five. Then she took a taxi to the station.,Smith left the house before she took a taxi to the station.,entailment
"Smith, Anderson and Jones met.",There was a group of people that met.,entailment
"John needed to buy a car, and Bill did.",Bill bought a car.,neutral
John has spoken to Mary. Bill is going to.,Bill will speak to Mary.,entailment
An Irishman won a Nobel prize.,An Irishman won the Nobel prize for literature.,neutral
ITEL built MTALK in 1993.,ITEL finished MTALK in 1993.,entailment
No delegate finished the report on time.,No delegate finished the report.,neutral
Smith was present. Jones was present. Smith was present before Jones was present.,Jones was present after Smith was present.,neutral
Both commissioners used to be businessmen.,Both commissioners used to be leading businessmen.,neutral
John spoke to Mary. On Friday.,John spoke to Mary on Friday.,entailment
"John went to Paris by car, and Bill by train to Berlin.",Bill went to Berlin by train.,entailment
John found Mary before Bill.,John found Mary before John found Bill.,entailment
No Scandinavian delegate finished the report on time.,Some delegate finished the report on time.,neutral
The PC-6082 is faster than the ITEL-XZ. The ITEL-XZ is fast.,The PC-6082 is fast.,entailment
Smith left the house at a quarter past five. She took a taxi to the station and caught the first train to Luxembourg.,,neutral
John spoke to Mary at four o'clock. So did Bill.,Bill spoke to Mary at four o'clock.,entailment
All APCOM managers have company cars. Jones is an APCOM manager.,Jones has more than one company car.,neutral
"Either Smith, Jones or Anderson signed the contract.",Jones signed the contract.,neutral
No one who starts gambling seriously stops until he is broke.,Everyone who starts gambling seriously continues until he is broke.,entailment
Many British delegates obtained interesting results from the survey.,Many delegates obtained interesting results from the survey.,neutral
A few committee members are from Sweden. All committee members are people. All people who are from Sweden are from Scandinavia.,At least a few committee members are from Scandinavia.,entailment
Few great tenors are poor.,There are great tenors who are poor.,neutral
Each Italian tenor wants to be great. Some Italian tenors are great.,There are Italian tenors who want to be great.,entailment
Smith left. Jones left. Smith left after Jones left.,Jones left before Smith left.,entailment
Just one accountant attended the meeting.,No accountant attended the meeting.,contradiction
Some great tenors are Swedish.,There are great tenors who are Swedish.,entailment
All mice are small animals. Mickey is a large mouse.,Mickey is a large animal.,contradiction
Smith ran his own business for two years.,Smith ran his own business for a year.,entailment
"Bill suggested to Frank's boss that they should go to the meeting together, and Carl to Alan's wife.","If it was suggested that Bill and Frank should go together, it was suggested that Carl and Alan's wife should go together.",neutral
Smith discovered a new species for an hour.,,neutral
"Smith saw Jones sign the contract. If Jones signed the contract, his heart was beating.",Smith saw Jones' heart beat.,neutral
Several Portuguese delegates got the results published in major national newspapers.,Several delegates got the results published in major national newspapers.,entailment
ITEL managed to win the contract in 1992.,ITEL won the contract in 1992.,entailment
Smith lived in Birmingham for two years.,Smith lived in Birmingham.,entailment
At most ten female commissioners spend time at home.,At most ten commissioners spend time at home.,neutral
The people who were at the meeting all voted for a new chairman.,Everyone at the meeting voted for a new chairman.,entailment
Smith signed two contracts. Jones signed two contracts.,Smith and Jones signed two contracts.,entailment
"John wanted to buy a car, and he did.",John bought a car.,entailment
Smith lived in Birmingham for two years.,Smith lived in Birmingham for exactly a year.,contradiction
ITEL won more orders than APCOM lost. APCOM lost ten orders.,ITEL won at least eleven orders.,entailment
"Last week I already knew that when, in a month's time, Smith would discover that she had been duped she would be furious.",It will be the case that in a few weeks Smith will discover that she has been duped; and she will be furious.,entailment
"If John wrote a report, then Bill did too. John wrote a report.",Bill wrote a report.,entailment
Smith wrote a novel in 1991.,Smith wrote it in 1992.,contradiction
Smith claimed he had costed his proposal and so did Jones.,Jones claimed Smith had costed Smith's proposal.,entailment
Exactly two lawyers and three accountants signed the contract.,Six accountants signed the contract.,contradiction
John has spoken to Mary. The students have too.,The students have spoken to Mary.,entailment
All Italian men want to be a great tenor. Some Italian men are great tenors.,There are Italian men who want to be a great tenor.,entailment
Just one accountant attended the meeting.,Some accountants attended the meeting.,contradiction
All Europeans can travel freely within Europe. Every European is a person. Every person who has the right to live in Europe can travel freely within Europe.,All Europeans have the right to live in Europe.,neutral
Every European has the right to live in Europe. Every European is a person. Every person who has the right to live in Europe can travel freely within Europe.,Every European can travel freely within Europe.,entailment
Several delegates got the results published in major national newspapers.,Several delegates got the results published.,entailment
The PC-6082 is as fast as the ITEL-XZ. The PC-6082 is fast.,The ITEL-XZ is fast.,neutral
Mary used her workstation.,Mary's workstation was used.,entailment
Clients at the demonstration were impressed by the system's performance.,Most clients at the demonstration were impressed by the system's performance.,entailment
John spoke to Mary on Thursday. And on Friday.,John spoke to Mary on Friday.,entailment
The people who were at the meeting voted for a new chairman.,Everyone at the meeting voted for a new chairman.,neutral
ITEL has expanded since 1992. It is now 1996.,ITEL expanded in 1993.,neutral
Each department has a dedicated line. The sales department rents it from BT.,The sales department rents a line from BT.,entailment
Jones revised the contract. Smith revised the contract. Jones revised the contract before Smith did.,Smith revised the contract after Jones did.,entailment
Several delegates got the results published in major national newspapers.,Several Portuguese delegates got the results published in major national newspapers.,neutral
Smith discovered a new species in two hours.,Smith spent two hours discovering the new species.,contradiction
"Either Smith, Jones or Anderson signed the contract.","If Smith and Anderson did not sign the contract, Jones signed the contract.",entailment
A few committee members are from Scandinavia.,At least a few female committee members are from Scandinavia.,neutral
"Smith took a machine on Tuesday, and Jones took a machine on Wednesday. They put them in the lobby.",Smith and Jones put two machines in the lobby.,entailment
Software faults were blamed for the system failure. Bug # 32-985 is a known software fault.,Bug # 32-985 was blamed for the system failure.,neutral
John owns a fast red car. Bill owns a slow one.,Bill owns a slow red car.,entailment
ITEL has sent most of the reports Smith needs. They are on her desk.,There are some reports from ITEL on Smith's desk.,entailment
Smith and Jones left the meeting.,Jones left the meeting.,entailment
Smith saw Jones sign the contract. Jones is the chairman of ITEL.,Smith saw the chairman of ITEL sign the contract.,entailment
John owns a red car. Bill owns a blue one.,Bill owns a red car.,neutral
The PC-6082 is faster than the ITEL-XZ. The PC-6082 is slow.,The ITEL-XZ is fast.,contradiction
Nobody who is asleep ever knows that he is asleep. But some people know that they have been asleep after they have been asleep.,Some people discover that they have been asleep.,entailment
John wants to know how many men work part time. And women.,John wants to know how many women work part time.,entailment
