premise,hypothesis,label
Men dressed in either theatrical or historical attire riding horses.,The men are riding horses.,entailment
Men dressed in either theatrical or historical attire riding horses.,The men are performing a reenactment on horses.,neutral
Men dressed in either theatrical or historical attire riding horses.,A theatrical horse has a soliloquy on stage.,contradiction
Children playing in public waterspouts.,The children are playing with water.,entailment
Children playing in public waterspouts.,The children are playing outside on a hot summer day.,neutral
Children playing in public waterspouts.,The children are jumping rope.,contradiction
Woman makes a face while playing the board game Clue.,Person makes a face while playing a board game,entailment
Woman makes a face while playing the board game Clue.,A woman plays a game with her family.,neutral
Woman makes a face while playing the board game Clue.,A woman eats a sandwich at the kitchen table.,neutral
Two people are swimming in water next to a red buoy.,Two people are swimming in water next to a buoy.,entailment
Two people are swimming in water next to a red buoy.,Two men are swimming in water next to a red buoy.,neutral
Two people are swimming in water next to a red buoy.,Two dogs are swimming in water next to a red buoy.,neutral
A child is holding a cleanser in front of an oven.,A child is standing in front of an oven.,entailment
A child is holding a cleanser in front of an oven.,A child is about to clean the oven.,neutral
A child is holding a cleanser in front of an oven.,A child is holding a bottle of milk in front of the refrigerator.,contradiction
A man in an orange jumpsuit rests a hand on a very large reel of thick rope.,man in jumpsuit,entailment
A man in an orange jumpsuit rests a hand on a very large reel of thick rope.,man thinks about work problem,neutral
A man in an orange jumpsuit rests a hand on a very large reel of thick rope.,a mountain view,contradiction
Two kids on wakeboards attempt to give one another a high-five.,Two kids are riding on wakeboards.,entailment
Two kids on wakeboards attempt to give one another a high-five.,Two kids are trying to high-five eachother for a video.,neutral
Two kids on wakeboards attempt to give one another a high-five.,Two kids are trying to huge.,contradiction
"Young men and women sit at a wooden table on which several partially-drunk beverages have been placed; the picture is interrupted by an outstretched hand, colored green in the odd light of the wood-paneled interior.","People sit at a table, while a hand interrupts the photograph.",entailment
"Young men and women sit at a wooden table on which several partially-drunk beverages have been placed; the picture is interrupted by an outstretched hand, colored green in the odd light of the wood-paneled interior.",The people are in a bar.,neutral
"Young men and women sit at a wooden table on which several partially-drunk beverages have been placed; the picture is interrupted by an outstretched hand, colored green in the odd light of the wood-paneled interior.",Young men and women sit around a picnic table outdoors with lots of food on the table,neutral
"A young boy, dressed in a karate gee and wearing a yellow belt, stands ready to defend himself inside a gym.","A young, yellow Belt, Karate Student is practicing in a Gym.",neutral
"A young boy, dressed in a karate gee and wearing a yellow belt, stands ready to defend himself inside a gym.",A young boy with yellow belt has been practicing karate for a while.,neutral
"A young boy, dressed in a karate gee and wearing a yellow belt, stands ready to defend himself inside a gym.",the boy smokes a cigarette at home,contradiction
A bowler winding up for the toss.,The bowler is ready to toss.,neutral
A bowler winding up for the toss.,The bowler is in a tournament.,neutral
A bowler winding up for the toss.,The bowler is doing nothing.,neutral
"A man is selling hotdogs on a walkway, and there are tons of pigeons.",There are many birds near the man.,entailment
"A man is selling hotdogs on a walkway, and there are tons of pigeons.",The pigeons are flying overhead.,neutral
"A man is selling hotdogs on a walkway, and there are tons of pigeons.",The man is a mime.,neutral
A small baby is in a plastic cradle.,An infant is resting,neutral
A small baby is in a plastic cradle.,An infant is sleeping in a bassinet.,neutral
A small baby is in a plastic cradle.,A small baby stands near a cradle.,contradiction
A young baby wearing blue sleepwear has a pacifier in his mouth and is sleeping.,A young baby sleeping.,entailment
A young baby wearing blue sleepwear has a pacifier in his mouth and is sleeping.,A baby wearing blue pajamas and taking her afternoon nap.,neutral
A young baby wearing blue sleepwear has a pacifier in his mouth and is sleeping.,A young baby is wide awake and crying.,neutral
Two paddlers propel a canoe down a tree-lined stream.,Two people are rowing a canoe in the water.,entailment
Two paddlers propel a canoe down a tree-lined stream.,Two people are wearing lifejackets.,neutral
Two paddlers propel a canoe down a tree-lined stream.,Two people are floating down the river in a raft.,neutral
"A group of people are sitting and standing holding a banner that stays , ""WE ARE DEMANDING.""",A collection of humans display a sign.,entailment
"A group of people are sitting and standing holding a banner that stays , ""WE ARE DEMANDING.""",People are talking while holding a banner.,neutral
"A group of people are sitting and standing holding a banner that stays , ""WE ARE DEMANDING.""","People are marching with a banner that says, ""we are lame.""",contradiction
Three women huddling for warmth under a blanket.,Cold people under a blanket.,entailment
Three women huddling for warmth under a blanket.,Three sisters huddling for warmth under a comforter after the furnace blows out in the middle of winter.,neutral
Three women huddling for warmth under a blanket.,Three woman hang sheets on a clothesline.,contradiction
Beach goers look at a heart left in the sky by a sky writer.,People on a beach look at decorations in the sky.,entailment
Beach goers look at a heart left in the sky by a sky writer.,People on a beach look up towards the sky.,entailment
Beach goers look at a heart left in the sky by a sky writer.,It is a dreary and cloudy day.,contradiction
A dog runs along the short at a beach.,the dog is playing at the ocean,neutral
A dog runs along the short at a beach.,a few animals are running in the sand,neutral
A dog runs along the short at a beach.,the cats are sleeping on the grass,contradiction
"An aerial view is on the top of two women, one older, one younger, who seem to be making something to eat at a public showcase.",Two women making food as shown from an aerial view.,entailment
"An aerial view is on the top of two women, one older, one younger, who seem to be making something to eat at a public showcase.","Two women compete in tryouts for ""The Iron Chef""",neutral
"An aerial view is on the top of two women, one older, one younger, who seem to be making something to eat at a public showcase.",Two women are in a submarine at the bottom of the ocean.,contradiction
Cancer survivors race for a cure.,cancer survivors are participating in a cause,entailment
Cancer survivors race for a cure.,Four runners with pink T-shirts are running in a race.,neutral
Cancer survivors race for a cure.,Four people are sitting around a table.,neutral
Small blond boy throwing a fit.,Small blond boy throwing a tantrum.,entailment
Small blond boy throwing a fit.,Small blond boy throwing a fit because he didn't get the toy.,neutral
Small blond boy throwing a fit.,Small red headed child is throwing a fit.,neutral
Two men are standing: one has body modifications and the other is wearing a hat.,A man has some piercings.,entailment
Two men are standing: one has body modifications and the other is wearing a hat.,The man with the hat is drinking coffee.,neutral
Two men are standing: one has body modifications and the other is wearing a hat.,The men are sitting on the couch.,contradiction
A woman in an orange vest and blue shirt makes blue corn tortillas.,A woman in an orange vest and blue shirt is making food.,entailment
A woman in an orange vest and blue shirt makes blue corn tortillas.,An Indian woman in an orange vest and blue shirt makes blue corn tortillas.,neutral
A woman in an orange vest and blue shirt makes blue corn tortillas.,Four kids are making pancakes in a kitchen.,neutral
"A man, wearing a high pressure water machine on his back is sculpting a monument of jesus christ.",A person is making a sculpture.,entailment
"A man, wearing a high pressure water machine on his back is sculpting a monument of jesus christ.","An old man, wearing a high pressure water machine on his back is sculpting a monument of jesus christ",entailment
"A man, wearing a high pressure water machine on his back is sculpting a monument of jesus christ.","A man, wearing a high pressure water machine on his back is sculpting a monument of president obama",contradiction
The string quintet plays for an audience.,A play is happening in front of an audience,neutral
The string quintet plays for an audience.,A play is happening in front of an audience and they are enjoying it,neutral
The string quintet plays for an audience.,Don't watch the show while sleeping the dog,contradiction
A young girl suspended by rope next to a mesh.,A little girl is hanging in the air,entailment
A young girl suspended by rope next to a mesh.,A little girl is in the circus act,neutral
A young girl suspended by rope next to a mesh.,A little girl is laying in her bed,contradiction
A little boy presses his face a window.,The boy pressed his face against the window.,entailment
A little boy presses his face a window.,The boy searched for his father by pressing his face against the window.,neutral
A little boy presses his face a window.,The girl looked through the window.,neutral
An African dressmaker puts the finishing touches on a garment while two women watch.,A black clothing maker is working with his hands.,entailment
An African dressmaker puts the finishing touches on a garment while two women watch.,The person from Africa is impressing two women.,neutral
An African dressmaker puts the finishing touches on a garment while two women watch.,The professional is baking a pie.,neutral
An African woman carries a parcel on her head.,A package is being held on a woman's noggin.,entailment
An African woman carries a parcel on her head.,The woman is returning with her clean laundry.,neutral
An African woman carries a parcel on her head.,The an balances a box on his head.,contradiction
The brown dog bounds through the leaves and the underbrush.,An animal running through woods.,neutral
The brown dog bounds through the leaves and the underbrush.,The dog goes after the kill.,neutral
The brown dog bounds through the leaves and the underbrush.,A dog sleeps in his cage.,contradiction
A young man holding a beer bottle and a cigarette splashes fluid on charcoal in a grill.,The man is about to grill.,entailment
A young man holding a beer bottle and a cigarette splashes fluid on charcoal in a grill.,The man is cooking for others.,neutral
A young man holding a beer bottle and a cigarette splashes fluid on charcoal in a grill.,The man is old,contradiction
A woman painting a palace and the landscape.,A woman is painting a palace.,entailment
A woman painting a palace and the landscape.,"A professional female artist, draws trees in the landscape of the palace.",neutral
A woman painting a palace and the landscape.,The woman paints a self-portrait.,contradiction
Three men sitting around a table during a speaking engagement.,Three humans are seated near a table.,entailment
Three men sitting around a table during a speaking engagement.,Three men are sitting at a table having drinks while speaking to each other.,neutral
Three men sitting around a table during a speaking engagement.,Three men sit on the ground.,neutral
"Three dogs run through surf, near rocky outcrop.",Three dogs get wet.,entailment
"Three dogs run through surf, near rocky outcrop.",Three dogs just met each other.,neutral
"Three dogs run through surf, near rocky outcrop.",Three cats are surfing.,contradiction
This group is doing their best to try and enjoy the new hospital orientation.,The group is on an orientation tour.,entailment
This group is doing their best to try and enjoy the new hospital orientation.,The group is chatting among themselves during the orientation.,neutral
This group is doing their best to try and enjoy the new hospital orientation.,No one showed up the the hospital orientation.,contradiction
"A young boy wearing over-sized blue tank top and shorts, and a red and blue cap, is looking through the viewfinder on a camera placed on a tripod.",A boy looking through a camera.,entailment
"A young boy wearing over-sized blue tank top and shorts, and a red and blue cap, is looking through the viewfinder on a camera placed on a tripod.",A small child is preparing to take a photo.,entailment
"A young boy wearing over-sized blue tank top and shorts, and a red and blue cap, is looking through the viewfinder on a camera placed on a tripod.",A young adult is watching tv.,neutral
A man on a city street is taking a photograph of someone dressed up like a spaceman.,The man is looking at the man dressed up.,entailment
A man on a city street is taking a photograph of someone dressed up like a spaceman.,The man dressed up is in space.,contradiction
A man without a shirt runs through water spraying out of a large silver dome.,A man runs through water,entailment
A man without a shirt runs through water spraying out of a large silver dome.,A man runs through water spraying from a statue in a park,neutral
A man without a shirt runs through water spraying out of a large silver dome.,A man accidentally sprays himself in the face at the drinking fountain.,neutral
"A man with a guitar, in cowboy boots and underwear, is standing in a street next to a woman, with yellow taxicabs in the background.",A guitarist dressed as a cowboy stands next to a woman waiting for a yellow cab,neutral
"A man with a guitar, in cowboy boots and underwear, is standing in a street next to a woman, with yellow taxicabs in the background.",a guy with a guitar stands by his wife,neutral
"A man with a guitar, in cowboy boots and underwear, is standing in a street next to a woman, with yellow taxicabs in the background.",a guy jumps 60 feet over a city bus,contradiction
A young Asian man studying with a pencil and a dictionary while drinking a cola.,A person is studying.,entailment
A young Asian man studying with a pencil and a dictionary while drinking a cola.,A young college student is studying for finals.,neutral
A young Asian man studying with a pencil and a dictionary while drinking a cola.,A women is dancing at a club.,contradiction
"Smiling, brown-eyed couple in a crowd.",The couple both have lips.,entailment
"Smiling, brown-eyed couple in a crowd.",The couple are at a concert.,neutral
"Smiling, brown-eyed couple in a crowd.",The couple are alone in the bedroom.,contradiction
A young woman leads a group of French youth in a protest chant against Sarkozy,There are at least three people.,entailment
A young woman leads a group of French youth in a protest chant against Sarkozy,The woman is holding a sign.,neutral
A young woman leads a group of French youth in a protest chant against Sarkozy,The woman studying by herself in her room.,contradiction
Men dressed in camouflage assist in helping clean up a grassy area.,Men help clean a field.,entailment
Men dressed in camouflage assist in helping clean up a grassy area.,Camouflaged soldiers clean up a park.,neutral
Men dressed in camouflage assist in helping clean up a grassy area.,Some soldiers pretend to clean while scoping out a possible enemy village.,neutral
"The drunk man in the gray shirt is attempting to drill into a keg of beer, while another keg awaits.",The man is near two kegs.,entailment
"The drunk man in the gray shirt is attempting to drill into a keg of beer, while another keg awaits.",The man is drilling the keg so he can drink beer.,entailment
"The drunk man in the gray shirt is attempting to drill into a keg of beer, while another keg awaits.",A drunk man has fallen asleep on top of the kegs.,neutral
a man with long hair pulled into a ponytail and thick framed black glasses stands at a stove stirring a pot of boiling water.,A man is cooking something.,entailment
a man with long hair pulled into a ponytail and thick framed black glasses stands at a stove stirring a pot of boiling water.,The man stirring the pot was sweating.,neutral
a man with long hair pulled into a ponytail and thick framed black glasses stands at a stove stirring a pot of boiling water.,A man is sitting in front of a fireplace reading a book.,contradiction
A little baby is playing with the nozzle of a vacuum cleaner.,The baby can reach the vacuum cleaner.,entailment
A little baby is playing with the nozzle of a vacuum cleaner.,A little baby is eating a vacuum cleaner nozzle,contradiction
A little baby is playing with the nozzle of a vacuum cleaner.,A baby is playing with a puzzle.,neutral
A woman wearing a babushka is sitting and sleeping inside a flower shop.,A women is sitting and sleeping because she worked all night.,neutral
A woman wearing a babushka is sitting and sleeping inside a flower shop.,A women is standing at the counter of a flower shop.,neutral
"Two men are walking down a dirt road with guns, as one carries a dead animal from hunting.",Two men are walking down a dirt road.,entailment
"Two men are walking down a dirt road with guns, as one carries a dead animal from hunting.",Two men in orange hunting caps carry guns on a dirt road,neutral
"Two men are walking down a dirt road with guns, as one carries a dead animal from hunting.",the men are in the store shopping,contradiction
A dog that looks much like a coyote jumps into the air over a grassy field to catch a tennis ball.,A dog jumps to catch a tennis ball.,entailment
A dog that looks much like a coyote jumps into the air over a grassy field to catch a tennis ball.,A dog leaps to grab a tennis ball his its owner throw.,neutral
A dog that looks much like a coyote jumps into the air over a grassy field to catch a tennis ball.,The ball is a football.,contradiction
A whole town participates in a war reenactment in the streets.,Town people are participating in a war reenactment.,entailment
A whole town participates in a war reenactment in the streets.,The town is having fun.,neutral
A whole town participates in a war reenactment in the streets.,The town is engaging in a square dance.,contradiction
"A person, costumed as the devil, stands with a young woman.",A person is standing.,entailment
"A person, costumed as the devil, stands with a young woman.",A person is at a costume party.,neutral
"A person, costumed as the devil, stands with a young woman.",A person is dressed like a leprechaun.,neutral
A woman walking down the street is carrying a knight in shining armor.,There is a women holding a large suit of armor,entailment
A woman walking down the street is carrying a knight in shining armor.,The woman is in a strong arm carrying competition,neutral
A woman walking down the street is carrying a knight in shining armor.,the knight in shining armor is carrying the horse,neutral
"Cubs fans have paper bags on their heads that spell out ""CUBS.""",The fan's heads are covered.,entailment
"Cubs fans have paper bags on their heads that spell out ""CUBS.""",The Cubs fans are wearing the paper bags on their heads as part of a bet.,neutral
"Cubs fans have paper bags on their heads that spell out ""CUBS.""",A group of boys are dressed like tiny bears in a forest.,contradiction
Man dressed up in black and brown and holding a white light saber.,A man is holding a light saber.,entailment
Man dressed up in black and brown and holding a white light saber.,A man poses for a picture at a convention.,neutral
Man dressed up in black and brown and holding a white light saber.,A man is holding a rifle.,contradiction
A woman in blue flats is holding a man's hand.,A woman is holding a man's hand.,entailment
A woman in blue flats is holding a man's hand.,A woman in blue flats is holding a man's hand walking together.,neutral
A woman in blue flats is holding a man's hand.,A woman in red sandals is holding a man's arm.,contradiction
A woman in a yellow hat and yellow shirt holding her hand out like a claw.,Someone is putting their hand out.,entailment
A woman in a yellow hat and yellow shirt holding her hand out like a claw.,A woman looks scary.,neutral
A woman in a yellow hat and yellow shirt holding her hand out like a claw.,The woman's hands are at her side.,contradiction
An upset woman with her makeup streaming down her face from her tears.,A women is crying.,entailment
An upset woman with her makeup streaming down her face from her tears.,A women is crying because of a recent breakup.,neutral
An upset woman with her makeup streaming down her face from her tears.,A women is smiling.,contradiction
A man in a black shirt is playing percussion on a set of empty five gallon buckets.,A man is making noise,entailment
A man in a black shirt is playing percussion on a set of empty five gallon buckets.,A man is singing while playing drums on empty buckets,neutral
A man in a black shirt is playing percussion on a set of empty five gallon buckets.,A man is in an orange shirt,neutral
A man in a green machine is cleaning a pump in front of the Drake hotel.,The pump in front of Drake hotel being cleaned.,entailment
A man in a green machine is cleaning a pump in front of the Drake hotel.,A man is cleaning a fuel pump in front of an old building.,neutral
A man in a green machine is cleaning a pump in front of the Drake hotel.,the man is eating fries at the beach,contradiction
the young children are petting a piglet,Children are petting a small pig.,entailment
the young children are petting a piglet,The siblings are petting their pet pig.,neutral
the young children are petting a piglet,The young children are popping molly and bottles.,contradiction
A man throws a disc in a park.,A man spends time outdoors.,entailment
A man throws a disc in a park.,The man has a frisbee.,neutral
A man throws a disc in a park.,The man is inside his living room.,contradiction
A father and his son cutting a cake during a dinner party held at their residence in texas.,A man cutting a cake.,entailment
A father and his son cutting a cake during a dinner party held at their residence in texas.,A family celebrates the death of Bin Laden.,neutral
A father and his son cutting a cake during a dinner party held at their residence in texas.,President Obama visiting a local family.,contradiction
A man is cleaning his yard with a leaf blower.,A man is cleaning his yard,entailment
A man is cleaning his yard with a leaf blower.,A man is happily cleaning his yard,neutral
A man is cleaning his yard with a leaf blower.,A man is not cleaning his yard,neutral
A man plays a recorder to a seagull by a brick wall.,a man plays music to at least one animal by a wall,entailment
A man plays a recorder to a seagull by a brick wall.,a man plays music,entailment
A man plays a recorder to a seagull by a brick wall.,a man paints inside,contradiction
A woman is sitting on a lawn chair holding a blown up of Incredible Hulk.,The woman is outside.,entailment
A woman is sitting on a lawn chair holding a blown up of Incredible Hulk.,The woman is advertising.,neutral
A woman is sitting on a lawn chair holding a blown up of Incredible Hulk.,The woman is standing.,contradiction
A man with curly hair and glasses tries to tug a large rope on a boat to no avail.,The man is working on a boat,entailment
A man with curly hair and glasses tries to tug a large rope on a boat to no avail.,a sailor tries to tug a large rope on a boat to no avail .,neutral
A man with curly hair and glasses tries to tug a large rope on a boat to no avail.,The man is watching TV in the living room,contradiction
Such a beautiful day for a solitary snorkeling expedition.,There is water nearby.,entailment
Such a beautiful day for a solitary snorkeling expedition.,A person is snorkeling.,neutral
Such a beautiful day for a solitary snorkeling expedition.,There is a tornado.,contradiction
A man in a purple shirt adding sugar to a bowl of orange mush.,A man is adding sugar to a bowl.,entailment
A man in a purple shirt adding sugar to a bowl of orange mush.,The man is making an orange cake.,neutral
A man in a purple shirt adding sugar to a bowl of orange mush.,The man is watering his lawn.,neutral
A male doctor takes measure of a woman's blood pressure.,A male doctor takes a woman's vital signs.,entailment
A male doctor takes measure of a woman's blood pressure.,A male doctor takes a woman's blood pressure because the nurse is busy.,neutral
A male doctor takes measure of a woman's blood pressure.,A female doctor takes measure of a man's blood pressure.,contradiction
Two men are lying in red cots on the side of a mountain.,The men are outside,entailment
Two men are lying in red cots on the side of a mountain.,The men are resting after mountain climbing,neutral
Two men are lying in red cots on the side of a mountain.,The men are sleeping in bed in their home,contradiction
A box is in front of a likeness of a wizard on the street.,There is a box near a lizard statue,neutral
A box is in front of a likeness of a wizard on the street.,There is trash near the lizard statue,neutral
A box is in front of a likeness of a wizard on the street.,there is a lizard statue in the box,neutral
Old woman in yellow holding tissue over young boys head.,There is a lady with a paper product by a child.,entailment
Old woman in yellow holding tissue over young boys head.,An old lady uses a tissue to catch a spider in a boy's hair.,neutral
Old woman in yellow holding tissue over young boys head.,A boy sits on the shoulders of an old lady who has no arms.,contradiction
"The mother is in the kitchen cleaning, she has her cleaning clothes on.",A woman is in the kitchen,entailment
"The mother is in the kitchen cleaning, she has her cleaning clothes on.",A mother is cleaning up in the kitchen before her family comes home.,neutral
"The mother is in the kitchen cleaning, she has her cleaning clothes on.",A husband is cleaning in the kitchen.,neutral
A boy in blue and white shorts is sweeping with a broom and dustpan.,A boy is wearing blue and white shorts.,entailment
A boy in blue and white shorts is sweeping with a broom and dustpan.,The boy is sweeping the place.,entailment
A boy in blue and white shorts is sweeping with a broom and dustpan.,The boy is not wearing shorts.,contradiction
A girl and her fiancee getting lady for some romantic moments after a long day at work.,A couple getting ready.,entailment
A girl and her fiancee getting lady for some romantic moments after a long day at work.,A couple getting ready to have a threesome.,neutral
A girl and her fiancee getting lady for some romantic moments after a long day at work.,A couple lazily watching tv.,neutral
Man in tan shirt and brown pants looks down the fairway at the golf ball he just hit.,A man just hit a golf ball down the fairway.,entailment
Man in tan shirt and brown pants looks down the fairway at the golf ball he just hit.,A man playing golf while on vacation hit a golf ball down the fairway.,entailment
Man in tan shirt and brown pants looks down the fairway at the golf ball he just hit.,A man in a tan shirt and blue pants putts his golf ball into the hole.,neutral
A young girl playing with two plastic and foam toy rockets.,The girl is playing with toys.,entailment
A young girl playing with two plastic and foam toy rockets.,The toys are a gift for her birthday.,neutral
A young girl playing with two plastic and foam toy rockets.,The girl is playing with barbie dolls.,contradiction
A young boy in a blue shirt examining a baby crocodile while at the zoo.,A child looking at an animal.,entailment
A young boy in a blue shirt examining a baby crocodile while at the zoo.,A young boy watching a crocodile eat.,neutral
A young boy in a blue shirt examining a baby crocodile while at the zoo.,A young boy watching TV.,contradiction
A woman wearing a mock ancient Egyptian headdress.,A person wearing a mock ancient Egyptian headdress.,entailment
A woman wearing a mock ancient Egyptian headdress.,A sad woman wearing a mock ancient Egyptian headdress.,neutral
A woman wearing a mock ancient Egyptian headdress.,A man wearing a mock ancient Egyptian headdress.,contradiction
The dirty vehicle is caught in a flood.,The vehicle is in a flood.,entailment
The dirty vehicle is caught in a flood.,The vehicle is on a boat.,neutral
A barefoot man laying down in the crevice under a bridge.,A man resting beneath a bridge.,entailment
A barefoot man laying down in the crevice under a bridge.,A man taking shelter beneath a bridge.,entailment
A barefoot man laying down in the crevice under a bridge.,A woman taking a walk in plain day.,contradiction
A man wearing a red shirt and a white and dark cap is standing underneath a canopy outside a building.,A man standing outside a building.,entailment
A man wearing a red shirt and a white and dark cap is standing underneath a canopy outside a building.,A man standing outside a skyscraper.,neutral
A man wearing a red shirt and a white and dark cap is standing underneath a canopy outside a building.,A man inside an elevator.,contradiction
Hundreds of people walking on a very busy street with stars hanging from buildings.,A crowd somewhere outside.,entailment
Hundreds of people walking on a very busy street with stars hanging from buildings.,A crowd in market place.,neutral
Man at party receiving beer pillow gift.,A man is being given something.,entailment
Man at party receiving beer pillow gift.,The man is celebrating his birthday.,neutral
Too hooded figures walk through a thicket.,A thicket has two hooded people walking through it.,entailment
Too hooded figures walk through a thicket.,Two Gaelic monks walk away from a bloody sacrifice.,contradiction
Too hooded figures walk through a thicket.,Two nudists walk through a thicket.,neutral
A baby wearing a white sleeper is sleeping in a crib.,An infant in bed.,entailment
A baby wearing a white sleeper is sleeping in a crib.,Sleeping quietly.,contradiction
