premise,hypothesis,label
The man dropped food on the floor.,His dog jumped up on him.,not_entailment
The homeowners disliked their nosy neighbors.,They hosted a barbeque in their backyard.,not_entailment
The child caught a life-threatening illness.,She didn't get vaccinated.,entailment
I misplaced my wallet.,I retraced my steps.,entailment
The benefactor requested to stay anonymous.,He wanted to maintain his privacy.,entailment
The crowd gave the band a standing ovation.,The band signed autographs.,not_entailment
The car stopped at the crosswalk.,The pedestrian waited on the sidewalk.,not_entailment
The stain came out of the shirt.,I patched the shirt.,not_entailment
The mirror in the bathroom fogged up.,The girl applied her makeup.,not_entailment
The climbers reached the peak of the mountain.,They congratulated each other.,entailment
The sun emerged from the clouds.,The woman glanced at her watch.,not_entailment
The team lost the game.,Their coach pumped them up.,not_entailment
The man needed coins to fill the parking meter.,He begged people on the street for loose change.,not_entailment
I rubbed the soap between my hands.,The soap foamed.,entailment
The mirror in the bathroom fogged up.,The girl turned on the fan.,entailment
The man's watch was broken.,He asked a stranger for the time.,entailment
My daughter suffered an allergy attack.,I took her to the emergency room.,entailment
I wrote a thank-you note to my grandmother.,She sent me a gift.,entailment
The police eliminated the woman from the list of suspects.,Her alibi checked out.,entailment
The man took a shower.,He opened a new bar of soap.,not_entailment
The detective flashed his badge to the police officer.,The police officer confiscated the detective's badge.,not_entailment
The girl went down the hill on her bike.,Her bike sped up.,entailment
The family took their dog to the veterinarian.,The dog injured his paw.,entailment
The offender violated parole.,She stole money from a church.,not_entailment
The scientist gained recognition.,She discovered a new species.,entailment
My breath smelled of garlic.,I wiped my mouth.,not_entailment
The boy lost hold of the bar of soap.,The bar was slippery.,entailment
I pushed the gas pedal.,The car door opened.,not_entailment
A crater formed on the moon.,A comet collided with the moon.,entailment
The man caught his shirtsleeve on the rungs of the fence.,The sleeve ripped.,entailment
I held the door for the woman entering behind me.,The woman thanked me.,entailment
The man felt thankful to be alive.,His wife was diagnosed with cancer.,not_entailment
The woman had an infection.,She took antibiotics.,entailment
A burglar broke into the house.,The security alarm went off.,entailment
The host of the trivia show called on the contestant for an answer.,The contestant was in the lead.,not_entailment
The woman got away with the crime.,Her accomplice was apprehended.,not_entailment
The man's eye became infected.,He went blind.,entailment
The competition ended.,The teams got pumped up.,not_entailment
The girl met her favorite actor.,She went to see his new film.,not_entailment
I applied pressure to the cut on my arm.,It healed.,not_entailment
The man gained weight.,He got his shoes shined.,not_entailment
The shirt shrunk.,I poured bleach on it.,not_entailment
The bodybuilder lifted weights.,Her muscles became fatigued.,entailment
The egg splattered.,I dropped it.,entailment
The guests of the party hid behind the couch.,It was a birthday party.,not_entailment
The girl handed down her clothes to her younger sister.,She outgrew the clothes.,entailment
The student flaunted his test grade to his classmates.,He received a perfect score.,entailment
The woman was wrongly convicted for the crime.,The jury was fair.,not_entailment
The police officer dropped the gun.,The gun went off.,entailment
The boy's mouth stung.,He blew out the candle.,not_entailment
The boy had trouble buttoning his shirt.,He refused to wear the shirt.,not_entailment
The woman won the lottery.,She joined a church.,not_entailment
I saw a woman getting robbed on the street.,I hailed a cab.,not_entailment
The patient underwent the risky medical procedure.,The procedure was costly.,not_entailment
I dabbed the floor with a paper towel.,The floor was permanently stained.,not_entailment
The swimmer won the race.,She received a gold medal.,entailment
The man closed the book.,It provoked him to think.,not_entailment
The bureau drawers were cluttered.,I locked the drawers shut.,not_entailment
The girl desired her parent's approval.,She ran away from home.,not_entailment
The girl made a wish.,She saw a black cat.,not_entailment
The man was lost.,He asked for directions.,entailment
The girl received a trophy.,She won a spelling bee.,entailment
The woman sensed a pleasant smell.,She remembered to take her medication.,not_entailment
The water in the teapot started to boil.,The teapot cooled.,not_entailment
My friend was recovering from surgery.,I dropped her off at the hospital.,not_entailment
I avoided giving a straight answer to the question.,I wanted to be honest.,not_entailment
The woman dangled the biscuit above the dog.,The dog scratched its fur.,not_entailment
The bully stuck his foot out in front of his classmate.,The bully's classmate tripped.,entailment
The friends' dinnertime conversation turned to politics.,A debate erupted.,entailment
The parents recognized their daughter's creativity.,They encouraged her to become an artist.,entailment
I was confused by the professor's lecture.,I asked the professor questions.,entailment
We ordered a pizza.,The pizza was delivered.,entailment
I hung up the phone.,The caller identified himself to me.,not_entailment
My mailbox was overflowing with letters.,I went on vacation for two weeks.,entailment
The woman stayed away from public places.,She was intoxicated.,not_entailment
The trip took a long time., The driver talked the whole way.,not_entailment
The man drank water with his meal.,His meal was spicy.,entailment
I wrote a thank-you note to my grandmother.,She became forgetful.,not_entailment
The celebrity wore sunglasses.,She wanted to thank her fans.,not_entailment
I burst into a fit of laughter.,My eyes welled up with tears.,entailment
The man begged for forgiveness.,The woman joked around with him.,not_entailment
The man dropped food on the floor.,His dog ran over to eat the food.,entailment
I ran out of breath.,I read several chapters of the book.,not_entailment
The teenager grew taller than his father.,He joined the basketball team.,not_entailment
The driver got pulled over by the police.,He was speeding.,entailment
The motorcyclist twisted the throttle.,The motorcycle shot forward.,entailment
The offender violated parole.,She was sent back to jail.,entailment
The driver honked her horn.,Another car swerved into her lane.,entailment
The shop was closed.,The owner was helping customers.,not_entailment
The woman complimented the man.,He blushed.,entailment
The woman gave the man her phone number.,She was repulsed by him.,not_entailment
The girl came across an unfamiliar word in her textbook.,She chucked the textbook across the room.,not_entailment
The employee missed work.,Her family got in touch with her.,not_entailment
My feet were blistered.,I went hiking.,entailment
The man fell unconscious.,The assailant took the man's wallet.,not_entailment
The parents forbade their children from watching the movie. ,The movie was animated.,not_entailment
The children ran through the sprinkler.,They ate popsicles.,not_entailment
The boy painted a picture for his mother.,His mother sold the picture to a gallery.,not_entailment
The boy giggled uncontrollably.,His brother tickled him.,entailment
I packed up my belongings.,I was hunting for a new apartment.,not_entailment
The vehicles travelled slowly.,It was cloudy.,not_entailment
The mother scolded her daughter.,Her daughter burped at the kitchen table.,entailment
The father put his daughter in her stroller.,He was tired of carrying her.,entailment
A burglar broke into the house.,The homeowners were asleep.,not_entailment
The benefactor requested to stay anonymous.,He supported the cause behind his donation.,not_entailment
The scientist gained recognition.,She received tenure at the university.,not_entailment
I scratched my skin.,My scar faded.,not_entailment
The boy had trouble buttoning his shirt.,He asked his mother for help.,entailment
The putrid odor filled the room.,I clamped my hand over my nose.,entailment
The skier slipped on the slope.,She dropped her ski poles.,not_entailment
The child caught a life-threatening illness.,She was adopted.,not_entailment
The woman complimented the man.,He sneezed.,not_entailment
The woman upgraded her computer hardware.,She deleted old files on the computer.,not_entailment
The woman covered her ears.,The woman smelled smoke.,not_entailment
My favorite song came on the radio.,I covered my ears.,not_entailment
The doctors amputated the patient's leg.,It was severely infected.,entailment
The skunk sprayed the dog.,The dog emitted a foul smell.,entailment
The milk stayed cold.,I stored it in the refrigerator.,entailment
The man threw out the bread.,It was stale.,entailment
The audience booed the comedian off the stage.,He told a racist joke.,entailment
The bananas ripened.,We ate them.,entailment
The clock stopped ticking.,I took extra time to get ready.,not_entailment
I ran out of breath.,I climbed several flights of stairs.,entailment
The toddler became cranky.,Her mother fixed her hair into pigtails.,not_entailment
Cars moved to the shoulder of the road.,A screaming ambulance approached.,entailment
The girl gasped.,Her friend stuck an ice cube down her back.,entailment
I slipped on the floor.,The tile was wet.,entailment
I excused myself from the group.,My phone rang.,entailment
I planted the seeds in the soil.,I watered the soil.,not_entailment
The woman and her boyfriend got into a fight.,They stopped seeing each other.,entailment
The police handcuffed the suspect.,The suspect resisted arrest.,entailment
My mailbox was overflowing with letters.,The lid on the mailbox broke.,not_entailment
The student received detention.,The teacher graded his homework.,not_entailment
I clumsily bumped into the stranger.,I ran away.,not_entailment
The ocean tide was dangerous.,The swimmers returned towards the shore.,entailment
I spit out my chewing gum.,I blew a bubble with the gum.,not_entailment
The tenants were evicted from the apartment.,They got along with their landlord.,not_entailment
I tossed the ball upwards.,The ball rolled across the ground.,not_entailment
The skydiver glided safely to the ground.,She jumped out of the plane.,not_entailment
The fans in the stadium cheered.,The game ended in a tie.,not_entailment
The mother suspected that her son was lying.,He avoided making eye contact with her.,entailment
I scrubbed the stain on the floor.,I got rid of the stain.,entailment
The woman suffered amnesia.,She got into a car accident.,entailment
The clock stopped ticking.,The clock showed the wrong time.,entailment
The police closed the investigation.,They apprehended the suspect.,entailment
The girl's mouth ached.,She lost a tooth.,entailment
The seamstress pushed the threaded needle into the fabric.,The thread wrapped around the needle.,not_entailment
I ironed my shirt.,It was clean.,not_entailment
The bureau drawers were cluttered.,I threw away unnecessary contents.,entailment
The librarian located the book in the stacks.,I requested the librarian's help.,entailment
The competition ended.,The teams shook hands.,entailment
The man begged for forgiveness.,The woman took pity on him.,entailment
The girl was angry with her friend.,The girl spread a rumor about her friend.,entailment
The teenager ran away from home.,His parents abused him.,entailment
The boy murmured his reply to his mother.,His mother told him to speak up.,entailment
The inside of the train went dark.,The train ran off the tracks.,not_entailment
I botched the job interview.,I anticipated the interviewer's questions.,not_entailment
The child became immune to the disease.,He received the vaccine for the disease.,entailment
The man became disabled.,His family offered him financial support.,entailment
The computer crashed.,I downloaded a virus.,entailment
The man broke his toe.,He got a hole in his sock.,not_entailment
The boy turned the lid on the jar.,The lid came off.,entailment
The man signed the document.,The transaction was voided.,not_entailment
The customer filed a complaint with the store manager.,The sales associate undercharged the customer.,not_entailment
The man went away for the weekend.,He wanted to relax.,entailment
The librarian located the book in the stacks.,The book was checked out.,not_entailment
The retail shop shut down.,Its sales were lagging.,entailment
The man made an error in his calculations.,His work was hasty.,entailment
I chugged the pitcher of water.,I walked upstairs.,not_entailment
The girl applied the scissors to the paper.,The paper sliced apart.,entailment
The police handcuffed the suspect.,The police called for backup.,not_entailment
The detective flashed his badge to the police officer.,The police officer let the detective enter the crime scene.,entailment
The team lost the game.,Their best player was injured.,entailment
I flipped the light switch up and down.,The light flickered.,entailment
The archeologist dug up the site.,She excavated ancient artifacts.,entailment
The fussy baby calmed down.,The parents picked out a name for the baby.,not_entailment
The company lost money.,Its products received positive consumer reviews.,not_entailment
The surfer caught the wave.,She paddled her board into the ocean.,not_entailment
The woman refused a second beer.,She was the designated driver for the night.,entailment
The engine of the airplane was faulty.,The pilot made an error.,not_entailment
The man broke his toe.,He dropped a hammer on his foot.,entailment
The politician lost the election.,He ran negative campaign ads.,not_entailment
The water in the teapot started to boil.,The teapot whistled.,entailment
The terrorist set off the bomb.,The bomb was deactivated.,not_entailment
The boy tuned the radio.,The station was coming in with static.,entailment
The woman covered her ears.,The fire alarm blared.,entailment
The woman repaired her faucet.,The faucet was turned off.,not_entailment
The grape juice fermented.,The juice turned to wine.,entailment
The swimmer won the race.,Her team lost the meet.,not_entailment
The bird couldn't fly.,It migrated for the winter.,not_entailment
The baby was wailing in his crib.,The baby crawled to the mother.,not_entailment
My stomach growled.,I forgot to eat breakfast.,entailment
The book became a huge bestseller.,It was adapted into a movie.,entailment
I stood on one foot.,I kneeled down.,not_entailment
The photograph faded.,It was fake.,not_entailment
The family postponed the barbeque.,The forecast called for storms.,entailment
The girl's mouth ached.,She swallowed her gum.,not_entailment
The stranger cried out to me in a foreign language.,I stopped to chat with him.,not_entailment
The chandelier shattered on the floor.,The chandelier's lights flickered on and off.,not_entailment
My friend was recovering from surgery.,I brought her a card and flowers.,entailment
I rubbed sandpaper on the wood.,The wood became sticky.,not_entailment
The man drank water with his meal.,His meal was cold.,not_entailment
The woman fanned herself with her hand.,The air conditioner in the room broke.,entailment
The rain subsided.,I browsed the internet.,not_entailment
The DJ turned the music on.,People left the party.,not_entailment
The room was dim.,I opened the blinds.,entailment
The woman felt reluctant to switch careers.,She endured a lot of stress in her current occupation.,not_entailment
The man contemplated the painting.,He felt in awe.,entailment
The woman presented her brother with a gift.,Her brother unwrapped the gift.,entailment
Our group's conversation gradually lulled to silence.,I felt awkward.,entailment
The girl wanted to demonstrate proper etiquette.,She threw away her napkin after eating.,not_entailment
I drank a cup of coffee.,I nodded off to sleep.,not_entailment
The girl pushed her friend.,Her friend fell over.,entailment
My body cast a shadow over the grass.,The grass was cut.,not_entailment
The nurse prepared the needle for the patient's injection.,The patient bled.,not_entailment
The man looked at his watch.,He realized he was early.,entailment
I slipped on the floor.,The tile was cracked.,not_entailment
I put shoes on.,The floor contained broken glass.,entailment
The bananas ripened.,We squeezed them.,not_entailment
The man went away for the weekend.,He felt content.,not_entailment
The man wanted to save money.,He cut back on making frivolous purchases.,entailment
The celebrity wore sunglasses.,She wanted to avoid recognition.,entailment
The woman took her family on vacation.,She received a salary bonus.,entailment
The woman took her family on vacation.,Her husband got laid off.,not_entailment
The police officer pulled over the celebrity.,The celebrity offered the officer a bribe.,entailment
The girl handed down her clothes to her younger sister.,The clothes were tattered.,not_entailment
The navy bombed the ship.,The ship crashed into the pier.,not_entailment
I made a resolution to eat a healthy diet.,I attended a yoga class.,not_entailment
I rubbed the soap between my hands.,My hands went numb.,not_entailment
The man gained weight.,He got his suit altered.,entailment
The toddler became cranky.,Her mother put her down for a nap.,entailment
The woman felt an electric shock.,She pounded on the door.,not_entailment
The girl stared at herself in the mirror.,She felt self-conscious.,entailment
The spy discovered the enemy's location.,The spy bugged the enemy's phone.,entailment
The woman awakened.,Her husband was snoring.,entailment
The school principal implemented a dress code.,Students protested the decision.,entailment
The print on the brochure was tiny.,The man put his glasses on.,entailment
I made a resolution to eat a healthy diet.,I bought fruits and vegetables.,entailment
The woman hit a midlife crisis.,She retired.,not_entailment
I went to bed.,It was a clear night.,not_entailment
The police aimed their weapons at the fugitive.,The fugitive fell to the ground.,not_entailment
The man revealed personal information to the therapist.,He disagreed with the therapist.,not_entailment
I went to bed.,It was late.,entailment
The inside of the train went dark.,The train travelled through a tunnel.,entailment
The rocket flew up into the sky.,The girl launched it.,entailment
The patient underwent the risky medical procedure.,Specialists recommended the procedure.,entailment
The woman spoke with a foreign accent.,She came from a wealthy family.,not_entailment
The woman presented her brother with a gift.,Her brother refused to accept the gift.,not_entailment
The tenants were evicted from the apartment.,They neglected to pay their rent.,entailment
The tenant misplaced his keys to his apartment.,His landlord unlocked the door.,entailment
The man took notice of the woman.,He had his back turned to her.,not_entailment
The customer came into the boutique.,She left her wallet at home.,not_entailment
The dust came off the desk.,I removed the books from the desk.,not_entailment
Cars moved to the shoulder of the road.,The traffic light turned green.,not_entailment
The man urgently leaped out of bed.,He wanted to shut off the alarm clock.,entailment
The woman fanned herself with her hand.,She installed the air conditioner in the room.,not_entailment
I spit out my chewing gum.,The gum lost its flavor.,entailment
My friend paid for my ticket.,I paid her back.,entailment
The clouds looked dark.,I brought my umbrella to work.,entailment
I excused myself from the group.,I turned off my phone.,not_entailment
The turtle hid in its shell.,It detected a predator.,entailment
The woman betrayed her friend.,Her friend cut off contact with her.,entailment
The hospital sent the patient home.,The patient's family visited him.,not_entailment
The man became disabled.,His family cut off contact with him.,not_entailment
The woman spotted her friend from across the room.,The woman escaped.,not_entailment
The woman exaggerated the details of the story.,She felt shy.,not_entailment
The woman sensed a pleasant smell.,She was reminded of her childhood.,entailment
The girl pushed her friend.,Her friend choked.,not_entailment
The chandelier shattered on the floor.,The chandelier dropped from the ceiling.,entailment
My knees buckled on the stairs.,The railing came loose from the wall.,not_entailment
The parents left their children with a babysitter.,Their youngest child started attending preschool.,not_entailment
The mother scolded her daughter.,Her daughter set the kitchen table.,not_entailment
The father put his daughter in her stroller.,She learned to walk.,not_entailment
The company's profits started to level off.,It moved its headquarters to a suburban location.,not_entailment
The woman wrote a check to the gas company.,She received her monthly bill.,entailment
The clay hardened.,The potter put the clay in the oven.,entailment
The DJ turned the music on.,People began to dance.,entailment
The man held his breath.,He treaded water.,not_entailment
The child disobeyed her parents.,Her parents hugged her.,not_entailment
I came upon a puddle on the sidewalk.,I leapt over the puddle.,entailment
I scrubbed the stain on the floor.,I got dirt on the floor.,not_entailment
Air leaked out of the beach ball.,It was inflated.,not_entailment
A fistfight broke out in the hall of the school.,The principal called off classes for the day.,not_entailment
The man craved a cigarette.,His family urged him to quit smoking.,not_entailment
I applied pressure to the cut on my arm.,It stopped bleeding.,entailment
The photograph faded.,It was old.,entailment
The girl found the missing puzzle piece.,She completed the puzzle.,entailment
I wanted to lighten the mood of the conversation.,I remained quiet.,not_entailment
The boy read the novel aloud to his grandfather.,His grandfather was deaf.,not_entailment
The cook stirred the ingredients in the bowl.,The ingredients melted.,not_entailment
The man lifted the heavy box.,He scratched his back.,not_entailment
The man threw his empty can onto the street.,He was fined for littering.,entailment
The bird couldn't fly.,It injured its wing.,entailment
The hunter ran out of ammunition.,He reloaded the gun.,entailment
My jaw dropped open.,I was unhappy.,not_entailment
The patient was dehydrated.,The nurse tested his reflexes.,not_entailment
My stomach growled.,I was full from breakfast.,not_entailment
The retail shop shut down.,It renewed its lease.,not_entailment
The customer filed a complaint with the store manager.,The sales associate acted rude to the customer.,entailment
The man woke up with a toothache.,He made an appointment with the dentist.,entailment
The young woman was denied entrance into the bar.,Her friends stood her up.,not_entailment
The girl gasped.,Her friend gave her a pat on the back.,not_entailment
The man had an attack of conscience.,He manipulated his friend.,not_entailment
I put my plate in the sink.,I finished eating.,entailment
The woman pressed down on the piano key.,The key got stuck.,not_entailment
The stranger cried out to me in a foreign language.,I stared blankly at him.,entailment
A water pipe in the house burst.,The water was unsanitary.,not_entailment
The boy mimicked his older brother.,The boy looked up to his older brother.,entailment
The doctor x-rayed the patient's arm.,He put the patient's arm in a cast.,not_entailment
The girl had a phobia of dogs.,She rescued an abandoned dog.,not_entailment
I put coins in the washing machine at the laundromat.,I ran out of laundry detergent.,not_entailment
A group of teenagers crashed the party.,The host of the party invited them in.,not_entailment
The company's profits started to level off.,It increased its marketing efforts for new products.,entailment
I received a package in the mail.,I took the package to the post office.,not_entailment
My body cast a shadow over the grass.,The sun was rising.,entailment
The boy giggled uncontrollably.,His brother kicked him.,not_entailment
My grandmother passed away.,My family held a funeral.,entailment
The woman's ring slipped off in the shower.,The ring went down the drain.,entailment
The customer came into the boutique.,The window display caught her eye.,entailment
The seamstress pushed the threaded needle into the fabric.,The thread went through the fabric.,entailment
The child kicked the stack of blocks.,The stack towered over the boy's head.,not_entailment
The woman stayed away from public places.,She was contagious.,entailment
The motorcyclist twisted the throttle.,The motorcycle coasted to a halt.,not_entailment
The woman felt lonely.,She renovated her kitchen.,not_entailment
The coach gave his player a high five.,The player got a penalty.,not_entailment
I pushed the pendulum.,It slowed to a stop.,not_entailment
The army surrendered the battle.,They stormed the city.,not_entailment
I chugged the pitcher of water.,I ran five miles.,entailment
The turtle hid in its shell.,It ate a fish.,not_entailment
The boaters set off a flare.,Their boat was rescued.,entailment
I got distracted from my conversation with the woman.,Everyone in the room was talking.,entailment
I ironed my shirt.,It was wrinkled.,entailment
The man went into denial about the tragedy.,He got over it easily.,not_entailment
Several witnesses of the crime testified against the suspect.,The suspect was convicted.,entailment
I drank a cup of coffee.,My yawning ceased.,entailment
The magnet attracted the paperclip.,The paperclip dropped from the magnet.,not_entailment
I moved to a new city.,My son was born.,not_entailment
The man's watch was broken.,He waited at the bus stop.,not_entailment
The security guard replayed the surveillance footage.,He noticed some suspicious activity.,entailment
The chef pressed down on the dough.,The dough flattened.,entailment
The boy got a black eye.,The bully mocked the boy.,not_entailment
The physician misdiagnosed the patient.,The patient disclosed confidential information to the physician.,not_entailment
The boy climbed the tree.,A cat got stuck in the tree.,entailment
The man grieved.,His wife criticized him.,not_entailment
The customer thought the souvenir was overpriced.,The vender sold it to him.,not_entailment
The tenant misplaced his keys to his apartment.,His landlord repaired the door.,not_entailment
The friends' debate dragged on interminably.,The friends were splitting hairs.,entailment
The woman received a diploma.,She graduated from college.,entailment
The fans in the stadium cheered.,The player scored.,entailment
The woman was deemed mentally ill.,She was sent to a psychiatric institution.,entailment
The shopper wondered about the cost of the item.,He decided to buy it.,not_entailment
The children knocked over a lamp.,They had a pillow fight.,entailment
I saw a woman getting robbed on the street.,I called 911.,entailment
I put coins in the washing machine at the laundromat.,The machine powered on.,entailment
A man cut in front of me in the long line.,I confronted him.,entailment
The student's answer on the exam was incorrect.,The teacher subtracted points off the student's grade.,entailment
The woman was deemed mentally ill.,She sought a career as a psychiatrist.,not_entailment
The shop was closed.,The shop was undergoing renovation.,entailment
The navy bombed the ship.,The ship's debris sunk in the sea.,entailment
The man wanted to save money.,He withdrew money from his savings account.,not_entailment
The man's clothes fit loosely.,He bought them on sale.,not_entailment
The army surrendered the battle.,They were outnumbered.,entailment
The man signed the document.,The transaction became official.,entailment
The authorities vowed to protect the identity of the crime victim.,The victim struggled to recall details about the crime.,not_entailment
The trip took a long time.,The driver made a wrong turn.,entailment
The girl stared at herself in the mirror.,The mirror was smudged.,not_entailment
The runner wore shorts.,The forecast predicted high temperatures.,entailment
The woman wanted to be a doctor.,She visited the hospital.,not_entailment
The boy's mouth stung.,He ate a pepper.,entailment
The girl made a wish.,She saw a shooting star.,entailment
I tipped the bottle.,The liquid in the bottle poured out.,entailment
The runner wore shorts.,She planned to run along the beach.,not_entailment
The farmland needed irrigation.,A canal was constructed.,entailment
The driver rotated the steering wheel.,The car turned.,entailment
The documents contained important information.,I paper clipped them together.,not_entailment
The patient was dehydrated.,The nurse gave him an IV.,entailment
The girl wanted to demonstrate proper etiquette.,She put her napkin on her lap before eating.,entailment
The young woman was denied entrance into the bar.,She forgot her ID.,entailment
I botched the job interview.,The interviewer asked difficult questions.,entailment
The skier slipped on the slope.,She hit a patch of ice.,entailment
The police closed the investigation.,The victim recovered.,not_entailment
The speaker disarmed her debate opponent.,The speaker congratulated her opponent.,not_entailment
The girl felt dizzy.,She lost her balance.,entailment
The woman filed a restraining order against the man.,The man called her.,not_entailment
The milk stayed cold.,It was pasteurized.,not_entailment
The clouds looked dark.,I brought my laptop to work.,not_entailment
The woman refused a second beer.,She was familiar with the bartender.,not_entailment
The man revealed personal information to the therapist.,He trusted the therapist.,entailment
The book was deemed inappropriate for children.,Schools banned it from its libraries.,entailment
The girl wanted to make her mother happy.,The girl picked a flower for her mother.,entailment
The boy turned the lid on the jar.,The jar became warm.,not_entailment
The boy read the novel aloud to his grandfather.,His grandfather was blind.,entailment
The photo albums collected dust in the attic.,They remained untouched for years.,entailment
The girl pushed herself off the top of the slide.,She glided down the slide.,entailment
A crater formed on the moon.,A comet passed by the moon.,not_entailment
The speaker disarmed her debate opponent.,The speaker won the debate.,entailment
The boy pushed his sister.,His sister tattled on him.,entailment
The father shut off the children's television.,The children were watching cartoons.,not_entailment
The man closed the umbrella.,He approached the building.,entailment
The car stopped at the crosswalk.,The pedestrian crossed the road.,entailment
The girl performed in a dance recital.,Her parents came to watch the recital.,entailment
The child kicked the stack of blocks.,The blocks scattered all over the rug.,entailment
The toddler started crying.,Her parents took away her toy.,not_entailment
The driver honked her horn.,She made a right turn at the light.,not_entailment
A group of teenagers crashed the party.,The host of the party kicked them out.,entailment
The woman tolerated her friend's difficult behavior.,The woman knew her friend was going through a hard time.,entailment
The man had lipstick on his cheek.,The woman made him blush.,not_entailment
I stood on one foot.,My balance wavered.,entailment
The papers were disorganized.,I put them into alphabetical order.,entailment
The flashlight was dead.,I replaced the batteries.,entailment
The boy filled the bucket with sand.,He was building a sand castle.,entailment
The spy discovered the enemy's location.,The spy was hired by the government.,not_entailment
The football coach lost his voice after the game.,He whistled whenever a player scored a touchdown.,not_entailment
The woman had an infection.,She washed her hands.,not_entailment
The archeologist dug up the site.,She read about the site's history.,not_entailment
The man uncovered incriminating evidence against his enemy.,The man blackmailed his enemy.,entailment
The patient went into a coma.,He suffered brain damage.,entailment
The egg splattered.,I boiled it.,not_entailment
The women met for coffee.,They wanted to catch up with each other.,entailment
I ran the ice cube under warm water.,The ice cube vanished.,entailment
My breath smelled of garlic.,I brushed my teeth.,entailment
The man contemplated the painting.,He collapsed.,not_entailment
The screen on the laptop went black.,The laptop's warranty expired.,not_entailment
The woman hummed to herself.,She was nervous.,not_entailment
The window was opaque.,The glass was stained.,entailment
The scientist conducted an experiment.,She fabricated her data.,not_entailment
The children ran through the sprinkler.,They were hot.,entailment
The photographer got the child to smile.,The photographer quickly changed the child's pose.,not_entailment
The boy was afraid to go to bed.,He turned on his nightlight.,not_entailment
